district,campus,unarticulated_receiver
Palo Verde Community College District,UCSB,1 of [MATH 34B / MATH 3B]
Palo Verde Community College District,UCSC,1 of [AM 11A / MATH 11A / MATH 19A]
Palo Verde Community College District,UCSD,1 of [MATH 10A / MATH 10B / MATH 10C / MATH 20B / MATH 20C]
Palo Verde Community College District,UCSD,ECON 1
Palo Verde Community College District,UCSD,ECON 3
Palomar Community College District,UCLA,ECON 11
Palomar Community College District,UCLA,ECON 41
Pasadena Area Community College District,UCD,1 of [MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021B]
Pasadena Area Community College District,UCLA,ECON 11
Pasadena Area Community College District,UCLA,ECON 41
Peralta Community College District,UCLA,ECON 11
Peralta Community College District,UCLA,ECON 41
Rancho Santiago Community College District,UCD,1 of [MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021A / MAT 021B]
Rancho Santiago Community College District,UCLA,ECON 11
Rancho Santiago Community College District,UCLA,ECON 41
Redwoods Community College District,UCLA,ECON 11
Redwoods Community College District,UCLA,ECON 41
Rio Hondo Community College District,UCLA,ECON 11
Rio Hondo Community College District,UCLA,ECON 41
Riverside Community College District,UCLA,ECON 11
Riverside Community College District,UCLA,ECON 41
San Bernardino Community College District,UCLA,ECON 11
San Bernardino Community College District,UCLA,ECON 41
San Diego Community College District,UCLA,ECON 11
San Diego Community College District,UCLA,ECON 41
San Francisco Community College District,UCLA,ECON 11
San Francisco Community College District,UCLA,ECON 41
San Joaquin Delta Community College District,UCLA,ECON 11
San Joaquin Delta Community College District,UCLA,ECON 41
San Joaquin Delta Community College District,UCSD,ECON 1
San Joaquin Delta Community College District,UCSD,ECON 3
San Jose-Evergreen Community College District,UCLA,ECON 11
San Jose-Evergreen Community College District,UCLA,ECON 41
San Luis Obispo County Community College District,UCLA,ECON 11
San Luis Obispo County Community College District,UCLA,ECON 41
San Mateo County Community College District,UCLA,ECON 11
San Mateo County Community College District,UCLA,ECON 41
Santa Barbara Community College District,UCLA,ECON 11
Santa Barbara Community College District,UCLA,ECON 41
Santa Clarita Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021A / MAT 021B]
Santa Clarita Community College District,UCLA,ECON 11
Santa Clarita Community College District,UCLA,ECON 41
Santa Monica Community College District,UCLA,ECON 11
Santa Monica Community College District,UCLA,ECON 41
Sequoias Community College District,UCLA,ECON 11
Sequoias Community College District,UCLA,ECON 41
Shasta-Tehama-Trinity Joint Community College District,UCLA,ECON 11
Shasta-Tehama-Trinity Joint Community College District,UCLA,ECON 41
Sierra Joint Community College District,UCLA,ECON 11
Sierra Joint Community College District,UCLA,ECON 41
Siskiyou Joint Community College District,UCLA,ECON 11
Siskiyou Joint Community College District,UCLA,ECON 41
Solano Community College District,UCLA,ECON 11
Solano Community College District,UCLA,ECON 41
Sonoma County Junior College District,UCLA,ECON 11
Sonoma County Junior College District,UCLA,ECON 41
South Orange County Community College District,UCLA,ECON 11
South Orange County Community College District,UCLA,ECON 41
Southwestern Community College District,UCLA,ECON 11
Southwestern Community College District,UCLA,ECON 41
State Center Community College District,UCLA,ECON 11
State Center Community College District,UCLA,ECON 41
Ventura County Community College District,UCLA,ECON 11
Ventura County Community College District,UCLA,ECON 41
Victor Valley Community College District,UCLA,ECON 11
Victor Valley Community College District,UCLA,ECON 41
Victor Valley Community College District,UCSD,ECON 1
Victor Valley Community College District,UCSD,ECON 3
West Hills Community College District,UCLA,ECON 11
West Hills Community College District,UCLA,ECON 41
West Kern Community College District,UCLA,ECON 11
West Kern Community College District,UCLA,ECON 41
West Valley-Mission Community College District,UCLA,ECON 11
West Valley-Mission Community College District,UCLA,ECON 41
Yosemite Community College District,UCLA,ECON 11
Yosemite Community College District,UCLA,ECON 41
Yuba Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021A / MAT 021B]
Yuba Community College District,UCLA,ECON 11
Yuba Community College District,UCLA,ECON 41
Yuba Community College District,UCSD,ECON 1
Yuba Community College District,UCSD,ECON 3
